                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.99932,                 1.1474,                 1.0685,                0.53203,                0.47883,                0.46491,                 0.3163,                 1.1716,                 1.4373,                 1.1508,             0.00058148,             0.00058148,             0.00058148
                     64,                 1.0057,                 1.1521,                 1.0684,                0.55757,                0.47835,                0.47556,                0.32694,                 1.1538,                  1.429,                 1.1449,             0.00057735,             0.00057735,             0.00057735
                     65,                 1.0068,                 1.1501,                 1.0692,                0.49375,                0.49474,                0.46075,                0.31564,                 1.1795,                 1.4545,                 1.1593,             0.00057323,             0.00057323,             0.00057323
                     66,                0.99541,                 1.1149,                 1.0628,                0.54929,                 0.4885,                0.47373,                0.33034,                 1.1617,                 1.4234,                 1.1487,             0.00056911,             0.00056911,             0.00056911
                     67,                0.98949,                 1.1246,                 1.0606,                0.52232,                0.47871,                0.47288,                 0.3277,                 1.1557,                 1.4247,                 1.1515,             0.00056498,             0.00056498,             0.00056498
                     68,                0.98279,                 1.1081,                 1.0604,                0.53225,                0.47228,                0.46329,                0.31944,                 1.1581,                 1.4374,                 1.1498,             0.00056086,             0.00056086,             0.00056086
                     69,                0.98834,                 1.1282,                 1.0655,                 0.5093,                0.50416,                0.46932,                 0.3265,                 1.1604,                 1.4338,                 1.1532,             0.00055674,             0.00055674,             0.00055674
                     70,                0.99571,                 1.1083,                 1.0594,                0.50657,                0.49827,                0.47809,                0.33196,                 1.1553,                 1.4126,                   1.15,             0.00055261,             0.00055261,             0.00055261
                     71,                0.97632,                 1.0807,                 1.0603,                0.53294,                0.46367,                0.45928,                0.31727,                 1.1604,                 1.4249,                 1.1563,             0.00054849,             0.00054849,             0.00054849
                     72,                0.96609,                 1.0784,                 1.0551,                0.52734,                0.48157,                 0.4692,                0.32454,                 1.1695,                 1.4391,                 1.1552,             0.00054437,             0.00054437,             0.00054437
                     73,                0.96457,                 1.0623,                 1.0457,                0.53971,                0.47438,                0.46843,                0.32489,                  1.164,                 1.4441,                 1.1535,             0.00054024,             0.00054024,             0.00054024
                     74,                0.97736,                 1.0786,                  1.056,                0.54767,                0.46713,                 0.4666,                0.32585,                 1.1624,                 1.4374,                 1.1606,             0.00053612,             0.00053612,             0.00053612
                     75,                0.96222,                 1.0718,                 1.0527,                0.53321,                0.47884,                0.46544,                0.32189,                 1.1689,                 1.4336,                 1.1619,               0.000532,               0.000532,               0.000532
